education,hours-per-week,sex,age,race,workclass,Major_Group
Bachelors,40,Male,23,White,Private,Other
Some-college,2,Male,71,Black,Self-emp-not-inc,Business
HS-grad,60,Male,29,White,Private,Other
Bachelors,50,Male,42,Black,Private,Other
HS-grad,40,Female,25,White,Private,Other
Masters,40,Female,44,Asian-Pac-Islander,Self-emp-inc,Other
HS-grad,40,Female,28,Asian-Pac-Islander,Private,Other
Masters,40,Male,45,White,Self-emp-not-inc,Other
Some-college,40,Female,36,White,Private,Other
Assoc-acdm,42,Male,39,White,Federal-gov,Industrial Arts & Consumer Services
Masters,40,Male,46,White,State-gov,Other
Less than HS,16,Male,18,White,Private,Other
Assoc-voc,20,Female,66,White,Local-gov,Industrial Arts & Consumer Services
HS-grad,40,Male,27,White,Private,Other
HS-grad,40,Male,28,White,State-gov,Other
Some-college,40,Male,51,White,Private,Business
Bachelors,50,Male,27,White,Private,Engineering
Bachelors,40,Male,28,White,State-gov,Health
HS-grad,25,Female,27,White,Private,Other
HS-grad,40,Male,21,Black,Private,Other
HS-grad,40,Male,34,Black,Private,Other
HS-grad,12,Male,18,White,Private,Other
Bachelors,65,Male,33,White,Private,Health
Some-college,38,Male,44,Black,Local-gov,Business
Some-college,40,Female,43,White,Private,Business
Some-college,45,Male,30,Black,Private,Engineering
Less than HS,40,Male,40,White,Private,Other
Some-college,42,Male,37,White,Federal-gov,Business
HS-grad,40,Male,34,Black,Private,Other
Bachelors,40,Female,41,White,Self-emp-not-inc,Business
Masters,50,Female,31,White,Private,Health
Doctorate,1,Male,58,White,State-gov,Other
Some-college,28,Female,38,Black,Private,Other
Some-college,40,Male,24,White,Private,Other
Bachelors,40,Male,41,Black,Local-gov,Engineering
Some-college,45,Male,47,White,Private,Engineering
Bachelors,24,Male,41,White,Federal-gov,Engineering
Less than HS,40,Male,23,White,Private,Other
Some-college,40,Male,36,White,Private,Engineering
Masters,55,Female,40,White,Federal-gov,Other
Masters,40,Male,35,White,Private,Health
HS-grad,40,Male,24,White,Self-emp-not-inc,Other
Masters,40,Female,26,White,Private,Health
Bachelors,50,Male,51,White,Private,Business
Some-college,40,Female,42,White,Local-gov,Health
HS-grad,35,Female,37,White,State-gov,Other
Less than HS,40,Female,18,White,Private,Other
Bachelors,36,Male,36,Black,Private,Other
HS-grad,60,Male,35,White,Private,Other
HS-grad,35,Female,58,White,Self-emp-inc,Other
Less than HS,12,Female,17,White,Private,Other
HS-grad,40,Male,44,Black,Local-gov,Other
HS-grad,40,Male,37,White,Private,Other
Some-college,40,Female,35,Amer-Indian-Eskimo,Private,Business
HS-grad,40,Male,60,Asian-Pac-Islander,Private,Other
Less than HS,40,Male,54,White,Self-emp-inc,Other
Bachelors,60,Male,37,Black,Private,Business
Assoc-acdm,40,Female,50,White,Private,Industrial Arts & Consumer Services
Bachelors,50,Male,38,White,Private,Business
Bachelors,55,Male,45,White,Private,Health
Less than HS,40,Male,25,White,Private,Other
Some-college,40,Male,31,White,Private,Other
HS-grad,40,Male,90,Black,Private,Other
HS-grad,20,Male,54,Black,Private,Other
Less than HS,35,Female,53,White,Local-gov,Other
HS-grad,40,Female,18,White,Private,Other
HS-grad,50,Male,66,White,Self-emp-not-inc,Other
Assoc-voc,20,Female,75,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Female,65,White,Private,Other
Less than HS,40,Male,35,Black,Private,Other
HS-grad,38,Female,41,Black,Private,Other
Some-college,42,Male,25,White,Private,Business
Some-college,40,Female,33,Other,Private,Engineering
Prof-school,55,Male,28,White,Private,Law & Public Policy
HS-grad,40,Male,59,White,State-gov,Other
Some-college,38,Female,40,White,State-gov,Business
Bachelors,50,Male,41,White,Private,Business
Masters,70,Male,38,White,Local-gov,Other
HS-grad,40,Male,23,White,Private,Other
Bachelors,40,Male,40,White,Private,Health
HS-grad,20,Female,41,White,Self-emp-not-inc,Other
Assoc-acdm,50,Male,24,White,State-gov,Industrial Arts & Consumer Services
Some-college,40,Male,38,White,Private,Engineering
HS-grad,45,Male,58,White,Private,Other
HS-grad,34,Female,32,White,Private,Other
Assoc-acdm,60,Male,40,White,Private,Industrial Arts & Consumer Services
Prof-school,40,Female,41,White,Private,Law & Public Policy
Bachelors,40,Female,42,Black,Private,Business
Less than HS,30,Female,59,Black,Local-gov,Other
Some-college,40,Male,19,White,Local-gov,Business
Some-college,20,Male,58,White,Private,Other
HS-grad,40,Male,42,Asian-Pac-Islander,Self-emp-not-inc,Other
HS-grad,40,Female,20,White,Private,Other
HS-grad,30,Female,32,White,Private,Other
Assoc-voc,45,Female,45,White,Private,Industrial Arts & Consumer Services
Less than HS,40,Male,50,White,Private,Other
Bachelors,40,Female,36,White,Private,Health
HS-grad,60,Male,45,White,Private,Other
Less than HS,12,Male,17,White,Private,Other
Some-college,40,Male,59,White,Private,Business
Less than HS,40,Male,26,White,Private,Other
Some-college,75,Male,37,Asian-Pac-Islander,Self-emp-inc,Business
HS-grad,40,Male,64,White,Private,Other
Bachelors,45,Female,33,White,Private,Health
HS-grad,40,Female,33,White,Private,Other
HS-grad,40,Male,61,White,Private,Other
Less than HS,24,Male,17,White,Private,Other
Masters,98,Male,50,White,Self-emp-not-inc,Other
Masters,35,Male,27,White,Local-gov,Health
HS-grad,40,Female,30,White,Private,Other
HS-grad,40,Male,43,Black,Private,Other
Some-college,40,Male,44,White,Private,Engineering
Some-college,40,Female,35,White,Private,Business
Some-college,40,Female,25,White,Private,Engineering
Some-college,48,Female,24,White,Private,Other
Bachelors,15,Female,22,White,Private,Health
Some-college,40,Male,42,White,Local-gov,Engineering
Assoc-acdm,45,Female,34,Black,Private,Industrial Arts & Consumer Services
Bachelors,42,Female,60,White,Private,Health
HS-grad,40,Male,21,White,Private,Other
Masters,40,Male,57,White,Federal-gov,Other
Prof-school,60,Male,41,White,Private,Law & Public Policy
Some-college,45,Male,50,White,Private,Other
Bachelors,40,Female,25,White,Private,Business
Less than HS,40,Male,50,White,Private,Other
Bachelors,45,Male,36,White,Private,Health
HS-grad,40,Female,31,White,Private,Other
Bachelors,56,Male,29,White,Local-gov,Business
Some-college,45,Male,21,White,Private,Business
Bachelors,40,Female,27,Black,Private,Engineering
HS-grad,16,Male,65,White,Private,Other
Bachelors,60,Female,37,White,Self-emp-inc,Business
HS-grad,40,Male,24,White,Private,Other
HS-grad,80,Male,38,White,Private,Other
Bachelors,40,Male,48,White,Private,Business
Some-college,25,Female,21,Asian-Pac-Islander,Private,Other
HS-grad,45,Male,31,White,Private,Other
HS-grad,40,Male,55,White,Private,Other
Some-college,40,Female,24,Asian-Pac-Islander,Private,Business
HS-grad,40,Female,43,White,Private,Other
Assoc-acdm,45,Male,26,White,Private,Industrial Arts & Consumer Services
Assoc-acdm,33,Female,46,White,Private,Industrial Arts & Consumer Services
Assoc-acdm,40,Male,35,White,Private,Industrial Arts & Consumer Services
Some-college,54,Male,41,White,Self-emp-inc,Other
Bachelors,40,Male,26,White,Private,Business
Masters,35,Male,34,Asian-Pac-Islander,Private,Other
Bachelors,40,Female,36,Black,Self-emp-not-inc,Health
Some-college,15,Male,22,White,Private,Business
Some-college,40,Male,24,White,Private,Other
Some-college,40,Male,77,White,Self-emp-not-inc,Business
Less than HS,40,Female,22,White,Private,Other
Some-college,40,Female,29,White,Private,Engineering
HS-grad,24,Female,62,White,Private,Other
HS-grad,40,Male,39,White,Self-emp-not-inc,Other
Some-college,50,Male,43,White,Private,Engineering
HS-grad,45,Male,35,White,Private,Other
Less than HS,40,Female,29,White,Private,Other
Masters,10,Male,76,White,Self-emp-not-inc,Other
HS-grad,45,Male,63,White,Self-emp-not-inc,Other
Some-college,50,Female,43,White,Private,Health
HS-grad,40,Male,58,White,Self-emp-not-inc,Other
HS-grad,55,Male,66,White,Private,Other
Some-college,45,Male,41,Black,Private,Engineering
Bachelors,40,Male,26,White,Private,Business
Assoc-voc,40,Male,47,White,Private,Industrial Arts & Consumer Services
Less than HS,40,Male,55,White,Local-gov,Other
HS-grad,40,Male,53,White,Private,Other
Less than HS,48,Male,17,White,Private,Other
HS-grad,40,Male,30,White,Private,Other
Masters,60,Male,49,White,Private,Health
HS-grad,30,Male,19,Black,Private,Other
HS-grad,40,Male,45,Black,Private,Other
Assoc-acdm,40,Male,26,White,Private,Industrial Arts & Consumer Services
Assoc-voc,40,Male,38,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,36,White,State-gov,Other
HS-grad,20,Male,33,White,Private,Other
Some-college,40,Female,22,Black,State-gov,Business
Bachelors,42,Male,43,White,Self-emp-not-inc,Business
Assoc-acdm,25,Male,56,White,Private,Industrial Arts & Consumer Services
Bachelors,25,Male,31,White,Private,Health
Bachelors,40,Male,33,White,Private,Business
HS-grad,40,Male,26,White,Private,Other
Bachelors,40,Male,33,White,Private,Business
Less than HS,30,Male,46,White,Local-gov,Other
HS-grad,40,Male,38,White,Federal-gov,Other
Less than HS,40,Male,65,Other,Private,Other
Assoc-voc,40,Male,40,White,Private,Industrial Arts & Consumer Services
HS-grad,35,Female,42,White,Private,Other
Less than HS,40,Male,26,White,Self-emp-not-inc,Other
Less than HS,24,Female,36,White,Private,Other
Masters,40,Male,62,White,Private,Health
Bachelors,45,Male,43,White,Private,Other
Bachelors,45,Male,43,White,Private,Business
HS-grad,55,Male,22,White,Private,Other
HS-grad,40,Male,28,White,Private,Other
Some-college,45,Male,56,White,Self-emp-not-inc,Business
Assoc-acdm,15,Female,22,White,Private,Industrial Arts & Consumer Services
Bachelors,45,Female,57,White,Private,Business
HS-grad,40,Female,39,White,Private,Other
Some-college,15,Female,26,White,Federal-gov,Business
Less than HS,10,Male,17,White,Private,Other
Assoc-voc,38,Male,40,White,State-gov,Industrial Arts & Consumer Services
HS-grad,40,Male,45,Black,Private,Other
HS-grad,40,Male,44,Black,Private,Other
Some-college,10,Female,20,White,Local-gov,Business
HS-grad,40,Female,33,White,Private,Other
Some-college,40,Male,23,White,Private,Business
Masters,30,Male,46,White,Self-emp-not-inc,Other
HS-grad,50,Male,38,White,Private,Other
HS-grad,40,Male,54,White,Private,Other
Less than HS,45,Female,46,White,Private,Other
Some-college,40,Male,25,White,Private,Engineering
Some-college,40,Female,46,White,Private,Business
Some-college,40,Female,36,White,Local-gov,Other
HS-grad,25,Female,23,White,Private,Other
HS-grad,40,Male,29,White,Private,Other
Some-college,6,Female,44,White,Private,Business
Some-college,16,Female,19,White,Private,Business
HS-grad,40,Female,19,White,Private,Other
HS-grad,40,Female,35,White,Private,Other
Bachelors,50,Male,27,White,Private,Engineering
Assoc-acdm,40,Male,46,White,Self-emp-not-inc,Industrial Arts & Consumer Services
HS-grad,35,Female,34,White,Private,Other
Some-college,40,Male,44,White,Private,Engineering
Some-college,40,Female,45,White,Private,Other
Bachelors,55,Male,25,White,Private,Business
Bachelors,50,Male,52,White,Self-emp-inc,Business
Some-college,40,Male,20,White,Private,Other
Some-college,40,Female,28,White,Private,Other
Bachelors,40,Male,50,White,State-gov,Business
Assoc-voc,64,Female,34,White,Private,Industrial Arts & Consumer Services
Less than HS,40,Male,28,Other,Private,Other
Masters,65,Male,41,White,Private,Other
HS-grad,40,Male,28,White,Private,Other
HS-grad,25,Male,46,White,Self-emp-not-inc,Other
Some-college,50,Male,32,White,Private,Business
Some-college,24,Female,41,Black,Local-gov,Other
HS-grad,40,Female,24,Black,Private,Other
Some-college,40,Female,33,White,Private,Business
Doctorate,60,Male,46,White,Private,Other
Some-college,40,Male,31,White,State-gov,Other
Less than HS,50,Male,35,White,Private,Other
Less than HS,40,Male,52,White,Private,Other
Less than HS,19,Female,30,White,Private,Other
Less than HS,40,Male,34,Black,Local-gov,Other
HS-grad,40,Female,34,White,State-gov,Other
Some-college,30,Male,20,White,Private,Business
Less than HS,18,Male,17,White,Private,Other
Bachelors,40,Female,32,White,State-gov,Business
HS-grad,40,Male,29,White,Private,Other
Less than HS,35,Female,33,White,Private,Other
HS-grad,60,Male,25,White,Private,Other
Masters,40,Male,36,White,Federal-gov,Health
HS-grad,72,Male,23,White,Private,Other
HS-grad,40,Male,63,White,Self-emp-inc,Other
Masters,40,Male,47,White,Local-gov,Health
Bachelors,40,Female,40,White,Self-emp-not-inc,Health
Assoc-acdm,25,Female,30,White,Private,Industrial Arts & Consumer Services
Some-college,40,Male,27,Asian-Pac-Islander,Private,Engineering
Masters,50,Male,33,White,Private,Health
HS-grad,60,Male,34,Black,Local-gov,Other
Some-college,40,Female,34,White,Local-gov,Business
Some-college,40,Male,23,White,Private,Business
Some-college,40,Female,42,White,Local-gov,Business
Bachelors,40,Male,29,White,Private,Health
HS-grad,28,Female,45,White,Private,Other
HS-grad,40,Male,24,White,Federal-gov,Other
Some-college,40,Male,44,White,Private,Health
Less than HS,40,Male,27,White,Private,Other
Some-college,35,Male,20,White,Private,Business
HS-grad,40,Female,44,Black,Private,Other
HS-grad,40,Male,51,Amer-Indian-Eskimo,Private,Other
HS-grad,40,Male,20,White,Private,Other
HS-grad,40,Female,19,Black,Private,Other
Some-college,55,Male,45,White,Self-emp-inc,Engineering
HS-grad,40,Male,60,White,Private,Other
HS-grad,40,Female,44,White,Self-emp-not-inc,Other
Assoc-voc,40,Male,40,Asian-Pac-Islander,Private,Industrial Arts & Consumer Services
HS-grad,40,Female,30,White,Private,Other
Some-college,50,Male,38,Black,Private,Other
HS-grad,60,Male,23,White,Private,Other
Assoc-acdm,40,Male,44,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,54,Black,Local-gov,Other
Bachelors,50,Male,32,White,Private,Health
Less than HS,40,Male,50,White,Private,Other
Bachelors,20,Female,24,White,Private,Engineering
HS-grad,60,Female,37,White,Private,Other
HS-grad,40,Male,52,White,Private,Other
Some-college,40,Male,38,White,Private,Other
Masters,45,Male,49,White,Private,Other
Bachelors,16,Female,30,White,Private,Engineering
Some-college,40,Male,60,White,Private,Health
HS-grad,40,Male,35,White,Private,Other
HS-grad,60,Male,30,White,Private,Other
Assoc-voc,24,Female,67,White,Private,Industrial Arts & Consumer Services
Bachelors,40,Female,46,White,Private,Engineering
Less than HS,6,Male,17,White,Private,Other
Some-college,30,Male,22,White,Private,Other
Less than HS,40,Male,27,White,Private,Other
HS-grad,35,Female,23,White,Private,Other
Assoc-acdm,45,Male,33,White,Private,Industrial Arts & Consumer Services
Some-college,20,Male,43,White,Self-emp-not-inc,Engineering
Bachelors,20,Male,28,White,State-gov,Health
HS-grad,40,Female,41,White,Private,Other
Some-college,20,Female,25,Black,Private,Business
HS-grad,45,Male,59,White,Local-gov,Other
Bachelors,40,Female,45,White,Local-gov,Health
Bachelors,60,Male,38,White,Private,Business
HS-grad,35,Female,40,White,Private,Other
HS-grad,40,Male,46,White,Federal-gov,Other
Assoc-acdm,60,Female,35,White,Private,Industrial Arts & Consumer Services
HS-grad,25,Female,34,White,Private,Other
Bachelors,20,Male,33,White,Private,Engineering
HS-grad,36,Female,41,White,Private,Other
Some-college,40,Male,20,White,Private,Other
Less than HS,40,Male,23,White,Private,Other
Some-college,35,Female,26,White,Private,Health
HS-grad,40,Male,23,White,Local-gov,Other
HS-grad,40,Male,62,White,Local-gov,Other
Some-college,40,Male,52,White,Private,Business
Some-college,42,Female,58,White,Private,Other
Bachelors,40,Female,25,White,Private,Business
Bachelors,40,Male,24,Black,Private,Business
Some-college,8,Male,19,White,Private,Business
Some-college,40,Male,43,White,Private,Business
HS-grad,40,Female,47,Black,Local-gov,Other
HS-grad,40,Female,39,White,Private,Other
Assoc-voc,42,Male,49,White,Private,Industrial Arts & Consumer Services
Assoc-voc,45,Male,32,White,Private,Industrial Arts & Consumer Services
Some-college,50,Male,34,White,Private,Health
HS-grad,45,Male,28,White,Private,Other
Some-college,20,Female,25,Amer-Indian-Eskimo,Private,Business
Bachelors,50,Male,34,White,Private,Health
Bachelors,80,Male,38,White,Self-emp-inc,Business
HS-grad,50,Male,50,White,Private,Other
Some-college,50,Male,24,Black,Local-gov,Other
Some-college,45,Male,37,White,Local-gov,Engineering
Some-college,58,Male,44,White,Private,Other
Some-college,40,Female,28,White,Private,Business
Bachelors,40,Male,42,White,Private,Business
Some-college,9,Female,74,White,Private,Business
HS-grad,50,Male,38,White,Self-emp-not-inc,Other
Masters,40,Male,44,White,Self-emp-not-inc,Health
Less than HS,46,Female,44,Other,Private,Other
HS-grad,40,Male,26,White,Private,Other
HS-grad,40,Male,36,Black,Private,Other
Assoc-acdm,50,Female,41,White,Private,Industrial Arts & Consumer Services
Prof-school,48,Male,67,White,Private,Law & Public Policy
Less than HS,50,Male,39,White,Local-gov,Other
Less than HS,30,Female,57,Black,Private,Other
Assoc-voc,40,Male,29,White,Private,Industrial Arts & Consumer Services
Bachelors,45,Female,31,White,Self-emp-inc,Other
Some-college,40,Male,44,White,Private,Other
Doctorate,40,Male,29,White,Private,Other
Some-college,40,Female,30,White,Private,Other
HS-grad,40,Male,27,White,Private,Other
Some-college,50,Male,27,White,Private,Business
HS-grad,45,Female,32,White,Private,Other
Less than HS,8,Female,58,White,Private,Other
Some-college,40,Male,35,White,Local-gov,Business
HS-grad,36,Male,21,White,Private,Other
Some-college,40,Male,28,White,Private,Engineering
Some-college,50,Male,46,White,Self-emp-not-inc,Business
HS-grad,40,Female,36,White,Self-emp-not-inc,Other
Less than HS,40,Female,72,White,Private,Other
HS-grad,40,Female,35,Black,Private,Other
Assoc-voc,40,Female,33,Black,Federal-gov,Industrial Arts & Consumer Services
Less than HS,40,Female,69,White,Private,Other
HS-grad,40,Male,35,White,Private,Other
HS-grad,32,Female,34,White,Private,Other
Less than HS,40,Male,30,White,Private,Other
Bachelors,55,Male,28,White,Private,Other
Bachelors,35,Male,54,White,Private,Business
Some-college,50,Male,47,White,Private,Health
HS-grad,40,Female,24,Black,Private,Other
Bachelors,60,Male,52,White,Self-emp-not-inc,Health
HS-grad,48,Male,20,Amer-Indian-Eskimo,Private,Other
Masters,45,Male,43,White,Self-emp-inc,Other
Less than HS,40,Female,45,White,Private,Other
HS-grad,35,Male,29,White,Self-emp-not-inc,Other
Masters,42,Male,47,White,Private,Other
HS-grad,40,Male,24,White,Private,Other
HS-grad,40,Male,51,White,Private,Other
Less than HS,12,Male,17,White,Private,Other
Assoc-voc,40,Male,37,White,Private,Industrial Arts & Consumer Services
Doctorate,70,Female,27,White,Private,Other
Bachelors,40,Male,29,White,Private,Business
Assoc-acdm,35,Female,36,White,Self-emp-not-inc,Industrial Arts & Consumer Services
Bachelors,40,Female,58,White,Local-gov,Health
Some-college,45,Male,26,White,Self-emp-not-inc,Engineering
HS-grad,40,Male,57,White,Private,Other
HS-grad,40,Male,59,White,Private,Other
HS-grad,40,Male,27,White,Private,Other
Bachelors,40,Male,31,White,Self-emp-not-inc,Engineering
Some-college,24,Female,21,White,Private,Business
Some-college,60,Male,29,White,Private,Business
Less than HS,40,Male,18,White,Private,Other
Less than HS,47,Male,52,White,Private,Other
Bachelors,80,Male,57,White,Self-emp-inc,Health
Less than HS,48,Male,60,White,Private,Other
Bachelors,40,Male,31,White,Private,Health
Bachelors,40,Female,23,White,Private,Business
HS-grad,40,Male,27,White,Private,Other
Prof-school,50,Male,42,White,Self-emp-not-inc,Law & Public Policy
Some-college,40,Male,25,White,Private,Engineering
Bachelors,45,Female,49,White,Private,Health
Bachelors,40,Male,32,White,Private,Engineering
Some-college,28,Male,19,White,Private,Business
Less than HS,40,Female,60,White,Private,Other
Less than HS,40,Male,42,White,Local-gov,Other
Assoc-acdm,40,Male,35,White,Self-emp-not-inc,Industrial Arts & Consumer Services
HS-grad,37,Female,48,Black,Private,Other
Masters,40,Male,51,White,Private,Other
HS-grad,40,Male,29,Amer-Indian-Eskimo,Private,Other
HS-grad,40,Male,36,Black,Local-gov,Other
Less than HS,21,Female,17,White,Private,Other
Masters,60,Female,52,White,Private,Health
HS-grad,40,Male,24,White,Private,Other
HS-grad,50,Male,24,White,Private,Other
Bachelors,40,Male,26,White,Local-gov,Health
Bachelors,20,Female,27,White,Private,Other
HS-grad,60,Male,39,White,Private,Other
HS-grad,45,Male,30,Black,Private,Other
HS-grad,32,Male,50,White,Self-emp-not-inc,Other
Bachelors,55,Male,52,White,Self-emp-inc,Business
Prof-school,45,Male,46,White,Private,Law & Public Policy
Bachelors,20,Female,23,White,Private,Business
Less than HS,20,Female,45,Black,Private,Other
Less than HS,24,Female,65,Black,Private,Other
Assoc-voc,55,Male,29,White,Private,Industrial Arts & Consumer Services
Less than HS,40,Male,47,White,Private,Other
HS-grad,60,Male,30,Black,Private,Other
HS-grad,45,Male,34,White,Private,Other
HS-grad,64,Male,38,White,Self-emp-not-inc,Other
Some-college,40,Male,33,White,Private,Business
Bachelors,26,Male,49,White,Private,Business
Some-college,40,Female,47,Black,Self-emp-not-inc,Other
Less than HS,40,Female,49,Black,Local-gov,Other
Some-college,60,Male,43,White,Private,Engineering
